u"It isn't."	'Note to self: when eating at a BBQ place, get the stupid BBQ. This steak is awful :(\n'
u'My girls and I also love the grilled veggie salad as well as whole wheat pasta with a variety of veggies.'	'Dinner with the family;)\n'
u'My girls and I also love the grilled veggie salad as well as whole wheat pasta with a variety of veggies.'	'Ensalada for the whole family!!!\n'
u'My girls and I also love the grilled veggie salad as well as whole wheat pasta with a variety of veggies.'	'Lunch time!\n'
u'There were like 8 people working and one person ahead of me in line and i spent a half hour there.Old Vegas, gaudy, tacky, trashy place on the North Strip.'	'No.\n'
u'By the way, there is no car was at this location.'	'The Apple Cinnamon Bran Muffins are awesome!\n'
u'By the way, there is no car was at this location.'	'There is a review that says you get one shot at the salad bar. That is incorrect.\n'
u'We got checked on about twice but what I noticed was that I was too busy eating and it was nice not to be bothered so much.'	'Get coupons online to make it cheaper for yourself ;)\n'
u'They were so fresh and delicious...definitely in season!'	'Clam chowder Fridays!\n'
u"Like many others, I was super excited to try this place since it's close to home and there aren't any kbbq (that I know of) by me except for Chinatown."	'I can always rely on them to have chili. Chili + bacon bits, f yes.\n'
u'Free wi-fi & need huge space then get here :)It does have some awesome stores which are damn cheap.......love this place......'	'expensive but premium quality.......\n'
u'Free wi-fi & need huge space then get here :)It does have some awesome stores which are damn cheap.......love this place......'	'good quality....\n'
u'Free wi-fi & need huge space then get here :)It does have some awesome stores which are damn cheap.......love this place......'	'pretty good....\n'
u'The sauce was very bright with fresh flavours... And for $8!'	'Amazing value - get the Thali for variety!\n'
u'The soup was delicious, the salad was average the steak was extremely tender and the dessert was rich and topped the meal off perfectly.'	'Ask for Fresh naan\n'
u'!Sarah was our server, sweet as the dessert on their menu & took good care of all 5 of us!'	'20% off Yelp check in discount! Used it for my UNValentines day secret shopping!\n'
u'!Sarah was our server, sweet as the dessert on their menu & took good care of all 5 of us!'	'Bachelorette Party supplies!\n'
u'!Sarah was our server, sweet as the dessert on their menu & took good care of all 5 of us!'	"Finally used my fabulous deal chicken offer, too bad I couldn't use the 20% yelp check in offer too!\n"
u'!Sarah was our server, sweet as the dessert on their menu & took good care of all 5 of us!'	'Secret shopping! ;) looking for some candy!\n'
u"He was suggesting some other shirts for my son and even went to the back to bring out some new stuff that hadn't hit the floor yet because they were all out of the shirt he wanted."	'Got lube?\n'
u'But if you like it hot, woweee this is your place!'	'Sliquid and Good Clean Love lube is here. Keep it clean! ;)\n'
u'This picture is from today.I have been coming here since the new owners took it over in May and I will not go any where else.'	'This a super clean store, we went in to buy hot tub lube and ended up getting dresses for our Vegas trip next weekend. I am going to go back to check out the toy section add I run out of time. Awesome! !\n'
u'I hear the blond highlights already calling me, but in order to get that banging deal, I have to have my daughter do my hair haha I better not piss her off & tip her well hahahaha Daughter will be in school for 11 months, so I know I will be back.I needed to get out of my environment and out of my head, and a friend just moved to Chandler from Colorado and told me lets go do something, we had about 2 hours to waste because I had family coming into town that I needed to meet up with, so I looked at her and said How about going to Ikea, she said ok lets go!'	'Cheryl said we are candy shopping lol\n'
u'But after we added a bit of salt/pepper, it was just right.'	'Fried catfish, fried okra, fried green beans. Ur arteries will hate u, but ur taste buds will love u.\n'
u"They are nice and friendly for sure, but just the limited selection here I'm not sure I will be a regular here."	"Try the tamales! Pork w a side of salsa Verde (it's spicy!)\n"
u'So tasty, so fresh, good quality.'	'great place to buy cheap fruits and vegetables for juicing\n'
u'I would definitly only consider this place for happy hour, as regular prices are on the high side.'	'Get the Nachitos.\n'
u'Great place to get take out as well.The theatre make-over is great!'	'Super deal using Groupon coupon. $30 of food for $15.\n'
u"But food was good and that's why we came.Okay, so I finally get to this."	'Great Mexican family place\n'
u'If you go Veggie, pick a dish where the Tofu is fried in the wok, not steamed.'	'Macho XX Amber and new enchilada plate. Yum!\n'
u"However, it is a bit pricey and I'm not sure it's worth what you're paying for it."	'Cinco de Mayo!\n'
u'The server also refused to split checks for us even though we told her at the begining we were on seperate tabs.'	"They have awesome taco salads, chips/salsa and chicken tacos...yum. I can't wait!\n"
u'Great internet!'	"Very friendly owners! Food tastes very fresh! I'll be coming here again\n"
u'Good moving company.'	'8 here for the 5th time. It was delicious!\n'
u"Thanx Carlos for directing me to Cafe Cantina!, (Carlos, I learn is a cook at a Peruvian eatery in Verdun, -will check that out next time at Lachine) Sound intel always welcomed.Finally VIP'd myself."	'=( Sorry to see this location close.\n'
u"They'll be happy to get it."	"The place to go for R&B and jazz! Don't blink you'll miss it!\n"
u"We'll be back!This place is ALWAYS a great time."	"Ya know I'm gonna shake my ass all night long!\n"
u"I'm telling you, go tonight and get this salad!"	'After a long hiatus, Robert hands me the tambourine and says, "Welcome back." It\'s good to be back. #soulpower\n'
u"I'm telling you, go tonight and get this salad!"	"I'm wearing my hot pink hot shorts. Where else would we go?!\n"
u"I'm telling you, go tonight and get this salad!"	'Never been here so early. Watching the band set up. Robert is back and ready to give me his tambourine. #20/30\n'
u"I don't know what else to say, but if you haven't stopped in for a quick sandwich...DO IT."	'So much fun!\n'
u"Their affordable, and creative meals will make you make that Switch!4.5 stars Oh House of Tricks, you are a sneaky devil aren't you?"	'Happy Birthday, Tiffany M!\n'
u'I love that!'	'Awesome staff dude!!\n'
u"She also assured me that If I didn't like my cut, that they would fix it for free."	'Hard to see at night. Look for the "88" on the street sign and turn into the parking lot. You\'ll know you\'re in the right spot when you see a closed gas station next door.\n'
u"She also assured me that If I didn't like my cut, that they would fix it for free."	'Make sure to ask for samples of the sauce or rub BEFORE you decide. Seasoned staff (not new hires) are experts in helping you find items that will suit your tastes, let them know what you like.\n'
u"She also assured me that If I didn't like my cut, that they would fix it for free."	'See pic for daily specials.\n'
u'On the two days I went I had a hot sandwich, the Turkey Loco, which was okay, but I just did not realize it was not going to have any veggies on it all.'	'Kind of cramped.\n'
u'Everyone at this facility is amazing.'	"Eat Everything! That's the best tip I have!!!\n"
u'Everyone at this facility is amazing.'	'The Best (period)\n'
u"They will get you sweating and flowing and while you may feel like you're going to die you won't (I promise, I'm still here) and at the end it is so, so worth it."	"Sit upstairs for a view - they'll bring the food up there. -:)\n"
u'I chose a deep purple sparkle and was told that it would not be good because it was "metallic".'	'They also do flights. Just ask\n'
u'Since I was let in on the Lil secret (which it was probably just me not knowing) that you don\'t have to actually by the entire pound if meat and cheese you can just buy what you want...I know I know ur saying "really ur just now knowing this" the answer is yes and when I found out it was like Christmas, New Year\'s, and my birthday (with plenty of presents) all in one.'	'All the food is good!\n'
